genre,artist,play_count,total_minutes,subgenre
Rock,Transatlantic,8,18.6,Progressive Rock
Rock,Yes,87,381.9,Progressive Rock
Rock,Bad Religion,10,20.4,Punk Rock
Rock,Good Charlotte,17,31.2,Punk Rock
Rock,Green Day,222,505.6,Punk Rock
Rock,NOFX,50,79.0,Punk Rock
Rock,Ramones,164,314.3,Punk Rock
Rock,Rise Against,42,116.8,Punk Rock
Rock,Sum 41,401,737.5,Punk Rock
Rock,The Offspring,149,256.3,Punk Rock
Rock,blink-182,727,1527.1,Punk Rock
R&B,Philip Bailey,16,72.6,R&B
R&B,The Weeknd,151,427.3,R&B
Rock,Fleetwood Mac,7,22.6,Rock
Rock,HIM,7,23.4,Rock
Rock,Harry Styles,120,391.3,Rock
Rock,Kings of Leon,58,156.9,Rock
Rock,No Doubt,18,68.2,Rock
Rock,Stone Sour,56,162.8,Rock
Rock,The Smiths,20,45.2,Rock
Soundtrack,Alexandre Desplat,48,97.1,Soundtrack
Soundtrack,Dario Marianelli,111,285.2,Soundtrack
Soundtrack,Gustavo Santaolalla,32,67.8,Soundtrack
Soundtrack,Hans immer,242,757.4,Soundtrack
Soundtrack,Howard Shore,117,394.8,Soundtrack
Soundtrack,James Newton Howard,23,61.5,Soundtrack
Soundtrack,John Williams,174,379.8,Soundtrack
Soundtrack,Les Friction,233,597.6,Soundtrack
Soundtrack,Lorne Balfe,35,58.7,Soundtrack
Soundtrack,Ramin Djawadi,39,103.4,Soundtrack
Soundtrack,Thomas Bergersen,188,478.2,Soundtrack
Soundtrack,Two Steps from Hell,43,133.0,Soundtrack
Soundtrack,Yann Tiersen,44,89.0,Soundtrack
Metal,Edenbridge,7,26.3,Symphonic Metal
Metal,Epica,226,608.0,Symphonic Metal
Metal,Kamelot,36,60.9,Symphonic Metal
Metal,Nightwish,617,2254.1,Symphonic Metal
