artist,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Gustavo Santaolalla,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0
HIM,0.0,0.0,9.0,57.0,173.0,291.0,363.0,402.0,402.0,419.0,422.0,424.0,424.0
Haken,0.0,1.0,7.0,237.0,377.0,491.0,559.0,588.0,590.0,590.0,613.0,670.0,670.0
Halestorm,9.0,37.0,102.0,173.0,209.0,333.0,396.0,405.0,406.0,443.0,464.0,465.0,465.0
Halsey,0.0,0.0,1.0,23.0,23.0,35.0,50.0,62.0,62.0,63.0,64.0,66.0,66.0
Hans immer,0.0,32.0,64.0,128.0,154.0,426.0,454.0,479.0,494.0,515.0,519.0,523.0,523.0
Hard-Fi,0.0,0.0,14.0,64.0,70.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
Harry Styles,0.0,0.0,0.0,29.0,71.0,80.0,116.0,177.0,759.0,847.0,893.0,902.0,904.0
Henry Jackman,0.0,0.0,86.0,86.0,86.0,109.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Hoier,2.0,2.0,3.0,124.0,142.0,186.0,223.0,229.0,229.0,231.0,245.0,245.0,246.0
Hoobastank,0.0,10.0,19.0,21.0,22.0,51.0,52.0,54.0,54.0,56.0,59.0,59.0,59.0
Howard Shore,0.0,3.0,69.0,69.0,69.0,148.0,189.0,230.0,243.0,246.0,246.0,247.0,247.0
Hurts,1.0,1.0,132.0,203.0,250.0,374.0,515.0,546.0,546.0,558.0,599.0,601.0,601.0
IAMX,0.0,0.0,668.0,1787.0,2248.0,2438.0,2590.0,2648.0,2661.0,2691.0,2713.0,2725.0,2725.0
INXS,1.0,1.0,2.0,280.0,399.0,490.0,570.0,676.0,698.0,736.0,768.0,790.0,790.0
Iamthemorning,0.0,0.0,0.0,49.0,50.0,62.0,92.0,94.0,98.0,99.0,99.0,100.0,100.0
Imagine Dragons,21.0,71.0,1320.0,2491.0,3004.0,3463.0,3853.0,4189.0,4318.0,4587.0,4625.0,4628.0,4628.0
In Flames,0.0,2.0,4.0,11.0,22.0,35.0,40.0,50.0,50.0,59.0,61.0,65.0,65.0
In This Moment,4.0,4.0,17.0,714.0,1075.0,1343.0,1443.0,1472.0,1472.0,1478.0,1491.0,1502.0,1502.0
Incubus,0.0,20.0,48.0,62.0,62.0,168.0,180.0,202.0,209.0,227.0,252.0,260.0,260.0
Interpol,0.0,1.0,7.0,56.0,63.0,121.0,123.0,127.0,133.0,133.0,133.0,133.0,133.0
Iron Maiden,0.0,9.0,16.0,60.0,76.0,261.0,300.0,305.0,365.0,384.0,692.0,740.0,740.0
James Arthur,0.0,0.0,1.0,2.0,9.0,25.0,73.0,80.0,80.0,80.0,83.0,84.0,84.0
James Bay,0.0,0.0,9.0,34.0,93.0,153.0,592.0,814.0,834.0,846.0,862.0,862.0,862.0
James Blunt,1.0,41.0,75.0,86.0,87.0,99.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0
James Newton Howard,1.0,1.0,19.0,20.0,20.0,26.0,50.0,58.0,58.0,58.0,58.0,58.0,58.0
Jamiroquai,0.0,10.0,12.0,22.0,23.0,23.0,149.0,149.0,149.0,165.0,244.0,292.0,292.0
Jarabe De Palo,1.0,48.0,69.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Jason Mra,2.0,128.0,206.0,220.0,225.0,228.0,233.0,233.0,233.0,233.0,233.0,234.0,234.0
Jethro Tull,0.0,0.0,0.0,72.0,76.0,77.0,77.0,101.0,117.0,121.0,124.0,124.0,124.0
Joe Satriani,28.0,30.0,30.0,78.0,83.0,177.0,205.0,213.0,215.0,215.0,215.0,218.0,218.0
Johann Sebastian Bach,28.0,33.0,38.0,39.0,40.0,112.0,130.0,133.0,133.0,133.0,133.0,154.0,154.0
John Lennon,0.0,22.0,49.0,49.0,49.0,62.0,63.0,63.0,66.0,66.0,66.0,66.0,66.0
John Mayer,0.0,18.0,20.0,34.0,34.0,34.0,40.0,80.0,96.0,97.0,113.0,113.0,113.0
John Petrucci,3.0,10.0,19.0,19.0,20.0,20.0,27.0,35.0,40.0,40.0,65.0,65.0,65.0
John Williams,3.0,10.0,34.0,150.0,150.0,193.0,241.0,270.0,270.0,293.0,293.0,293.0,293.0
Journey,5.0,12.0,35.0,48.0,48.0,49.0,50.0,51.0,51.0,51.0,53.0,57.0,57.0
Juan Carlos Baglietto,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,46.0,70.0,70.0,70.0
Juli,0.0,0.0,8.0,16.0,18.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
Justin Bieber,1.0,66.0,104.0,112.0,112.0,115.0,129.0,130.0,130.0,130.0,134.0,134.0,134.0
Justin Timberlake,4.0,58.0,83.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,111.0,112.0,112.0
KISS,3.0,23.0,26.0,31.0,31.0,31.0,32.0,36.0,39.0,39.0,93.0,93.0,93.0
KT Tunstall,0.0,0.0,0.0,23.0,31.0,35.0,38.0,38.0,42.0,47.0,55.0,55.0,55.0
Kamelot,0.0,0.0,4.0,40.0,42.0,50.0,57.0,59.0,59.0,59.0,59.0,59.0,61.0
Kansas,25.0,145.0,159.0,171.0,171.0,176.0,182.0,191.0,235.0,241.0,248.0,251.0,251.0
Karnivool,0.0,0.0,1.0,45.0,62.0,91.0,209.0,213.0,215.0,215.0,215.0,235.0,241.0
Kasabian,0.0,4.0,16.0,92.0,99.0,106.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
Katatonia,0.0,20.0,30.0,56.0,66.0,108.0,118.0,121.0,121.0,124.0,131.0,147.0,147.0
Katy Perry,0.0,34.0,49.0,64.0,66.0,86.0,98.0,101.0,101.0,101.0,101.0,102.0,102.0
Keane,104.0,384.0,441.0,460.0,468.0,470.0,673.0,991.0,1123.0,1210.0,1275.0,1314.0,1314.0
King Crimson,0.0,0.0,0.0,15.0,16.0,49.0,49.0,64.0,71.0,77.0,77.0,97.0,97.0
Kings of Leon,0.0,8.0,43.0,120.0,132.0,146.0,151.0,158.0,158.0,159.0,167.0,168.0,168.0
Klimt 1918,0.0,0.0,31.0,39.0,41.0,54.0,58.0,63.0,63.0,63.0,66.0,66.0,66.0
Korn,0.0,6.0,12.0,152.0,229.0,413.0,419.0,425.0,425.0,457.0,481.0,481.0,481.0
La Oreja de Van Gogh,90.0,150.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0
La Renga,1.0,1.0,5.0,34.0,43.0,46.0,47.0,47.0,47.0,54.0,85.0,85.0,85.0
