artist,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Two Steps from Hell,38.0,38.0,60.0,78.0,78.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0
U2,206.0,393.0,778.0,817.0,822.0,837.0,846.0,895.0,910.0,913.0,916.0,916.0,918.0
VOLA,0.0,0.0,2.0,3.0,4.0,13.0,20.0,21.0,21.0,21.0,31.0,106.0,107.0
Van Halen,3.0,12.0,22.0,33.0,36.0,40.0,42.0,42.0,62.0,67.0,75.0,78.0,78.0
Vance Joy,1.0,1.0,1.0,11.0,35.0,53.0,61.0,66.0,66.0,67.0,67.0,67.0,67.0
Velvet Revolver,0.0,0.0,2.0,9.0,9.0,28.0,32.0,32.0,32.0,140.0,241.0,258.0,258.0
VersaEmerge,0.0,0.0,42.0,57.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0
Vulkan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,21.0,50.0,52.0
Whitesnake,4.0,12.0,22.0,26.0,26.0,32.0,33.0,34.0,38.0,50.0,57.0,60.0,61.0
Wolfgang Amadeus Moart,20.0,22.0,22.0,22.0,36.0,75.0,87.0,93.0,93.0,93.0,95.0,99.0,99.0
X Ambassadors,4.0,4.0,4.0,71.0,96.0,379.0,405.0,424.0,424.0,424.0,427.0,427.0,427.0
Yann Tiersen,5.0,8.0,10.0,24.0,61.0,66.0,71.0,73.0,73.0,74.0,76.0,81.0,81.0
Yellowcard,5.0,8.0,39.0,60.0,61.0,64.0,65.0,67.0,76.0,76.0,76.0,76.0,76.0
Yes,18.0,54.0,55.0,151.0,163.0,181.0,181.0,182.0,182.0,183.0,184.0,191.0,191.0
Ylvis,0.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
a-ha,0.0,22.0,31.0,45.0,74.0,94.0,98.0,103.0,104.0,112.0,114.0,142.0,142.0
blink-182,75.0,138.0,207.0,1085.0,1135.0,1239.0,1377.0,1426.0,1471.0,1482.0,1506.0,1510.0,1510.0
t.A.T.u.,0.0,17.0,19.0,19.0,19.0,38.0,38.0,51.0,51.0,52.0,52.0,52.0,52.0
