genre,artist,play_count,total_minutes
Other,Axel,24,70.4
Other,Axel Flóvent,7,15.2
Other,Ayreon,179,539.2
Other,B.B. King,6,15.3
Other,BANNERS,17,38.6
Other,BLOKHE4D,10,22.9
Other,BONSER,5,7.8
Other,BROODS,13,17.6
Other,Babasonicos,185,368.4
Other,Babasónicos,12,30.6
Other,Babyshambles,18,19.3
Other,Backstreet Boys,92,308.0
Other,Bad Company,6,10.2
Other,Bad Suns,6,13.8
Other,Bad Wolves,6,14.0
Other,Badflower,7,14.9
Other,Bai,6,11.4
Other,Balmorhea,18,59.8
Other,Bananarama,7,20.0
Other,Band of Horses,8,13.0
Other,Banda de Turistas,16,19.0
Other,Bandana,5,13.9
Other,Barco,40,63.6
Other,Barenaked Ladies,7,9.7
Other,Barns Courtney,6,18.6
Other,Baroness,10,27.4
Other,Barry White,5,8.8
Other,Basement,11,19.6
Other,Bass Communion,10,73.1
Other,Bassnectar,5,12.8
Other,Bastille,46,103.4
Other,Be Forest,11,32.1
Other,Beach House,8,16.2
Other,Bear McCreary,85,210.8
Other,Bear's Den,8,25.2
Other,Beardfish,46,148.7
Other,Beastie Boys,9,12.5
Other,Beau + Luci,29,62.4
Other,Bebe Rexha,7,8.3
Other,Beck,6,12.8
Other,Becky G,5,9.8
Other,Bee Gees,26,78.0
Other,Ben E. King,6,7.4
Other,Ben Folds Five,7,20.4
Other,Ben Howard,110,331.2
Other,Ben Platt,21,63.6
Other,Benjamin Francis Leftwich,5,1.7
Other,Bent Knee,15,45.8
Other,Berlin,7,15.6
Other,Berlinist,14,30.1
Other,Bernadette Boulet,9,2.8
Other,Bersuit Vergarabat,100,303.5
Other,Bestia Bebé,24,12.6
Other,Between The Buried And Me,65,135.7
Other,Beyoncé,10,27.0
Other,Biba Dupont,6,3.4
Other,Biffy Clyro,60,144.3
Other,Big Big Train,120,337.3
Other,Bil Cutie,6,5.4
Other,Bill Conti,15,28.0
Other,Bill Withers,10,20.9
Other,Billie Eilish,2116,5901.9
Other,Billie Marten,13,39.6
Other,Billy Idol,76,239.8
Other,Billy Joel,25,35.1
Other,Billy Ocean,11,40.8
Other,Billy Talent,15,35.8
Other,Birds Of Tokyo,29,53.6
Other,Birdy,81,167.7
Other,Bishop Briggs,8,23.2
Other,Björk,49,129.0
Other,Bjørn Riis,22,64.6
Other,Black Country Communion,23,91.6
Other,Black Eyed Peas,24,69.0
Other,Black Label Society,51,148.0
Other,Black Rebel Motorcycle Club,6,13.6
Other,Black Sabbath,36,131.3
Other,Black Stone Cherry,12,33.2
Other,Black Sun Empire,8,20.7
Other,Black Veil Brides,16,55.4
Other,Blackfield,1179,3131.9
Other,Blacktop Mojo,71,215.0
Other,Blake Shelton,5,18.5
Other,Blanco White,8,27.7
Other,Bleachers,5,16.4
Other,Blind Ego,38,156.1
Other,Blind Guardian,14,40.4
Other,Blind Melon,719,1692.9
Other,Bloc Party,21,45.3
Other,Blondie,10,17.4
Other,Blue October,38,103.8
Other,Blue Öyster Cult,18,38.9
Other,Blur,127,243.7
Other,Blutengel,5,4.0
Other,Boards of Canada,18,35.1
Other,Bob Dylan,12,37.7
Other,Bob Marley & The Wailers,47,147.6
Other,Bomba Estéreo,6,8.9
Other,Bombay Bicycle Club,5,11.8
Other,Bon Iver,9,23.5
Other,Bon Jovi,446,1593.8
Other,Bonnie Tyler,9,29.8
Other,Borislav Slavov,6,14.4
Other,Boston,22,95.0
Other,Bowling For Soup,6,13.5
Other,Box Car Racer,62,130.2
Other,Boy Epic,11,37.7
Other,Boy II Men,18,61.0
Other,Boy In Space,6,13.5
Other,Boyce Avenue,119,156.2
Other,Brandon Flowers,19,59.6
Other,Breaking Benjamin,65,156.3
Other,Breed 77,60,147.2
Other,Brendan Benson,7,19.7
Other,Brian May,6,8.3
Other,Brian Tyler,17,31.2
Other,Bring Me The Horion,8,14.2
Other,Britney Spears,115,281.3
Other,Broken Iris,18,24.9
Other,Bruce Dickinson,19,48.0
Other,Bruce Soord,23,77.4
Other,Bruce Springsteen,18,35.0
Other,Bruno Major,9,18.7
Other,Bruno Mars,29,67.2
Other,Bryan Adams,194,688.8
Other,Bryan Ferry,9,30.6
